Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDX21,7.05,Low Fat,0.1422157,Snack Foods,108.7912,OUT010,1998,,Tier 3,Grocery Store,109.1912
FDM46,7.365,Low Fat,0.159967845,Snack Foods,94.712,OUT046,1997,Small,Tier 1,Supermarket Type1,1304.968
FDN15,17.5,Low Fat,0.028009382,Meat,141.718,OUT010,1998,,Tier 3,Grocery Store,419.454
FDP32,6.65,Low Fat,0.08816538,Fruits and Vegetables,126.8678,OUT017,2007,,Tier 2,Supermarket Type1,1780.3492
DRI03,,Low Fat,0.0,Dairy,175.3028,OUT027,1985,Medium,Tier 3,Supermarket Type3,3719.1588
FDG60,20.35,Low Fat,0.060794097,Baking Goods,233.6616,OUT049,1999,Medium,Tier 1,Supermarket Type1,2577.9776
FDR15,9.3,reg,0.033489979,Meat,156.6314,OUT049,1999,Medium,Tier 1,Supermarket Type1,1241.0512
DRM49,6.11,Regular,0.152813518,Soft Drinks,45.6086,OUT017,2007,,Tier 2,Supermarket Type1,1025.9978
FDH52,9.42,Regular,0.044151435,Frozen Foods,61.5194,OUT017,2007,,Tier 2,Supermarket Type1,866.8716
NCZ54,14.65,Low Fat,0.0,Household,161.5552,OUT010,1998,,Tier 3,Grocery Store,324.9104
FDH58,12.3,Low Fat,0.036939673,Snack Foods,113.1834,OUT046,1997,Small,Tier 1,Supermarket Type1,3109.9518
FDN46,7.21,Regular,0.144511119,Snack Foods,100.5332,OUT013,1987,High,Tier 3,Supermarket Type1,2460.7968
FDV38,19.25,Low Fat,0.101689151,Dairy,54.6956,OUT013,1987,High,Tier 3,Supermarket Type1,163.7868
FDT51,11.65,Regular,0.010963269,Meat,110.9544,OUT018,2009,Medium,Tier 3,Supermarket Type2,335.5632
FDO32,6.36,Low Fat,0.120543611,Fruits and Vegetables,45.806,OUT046,1997,Small,Tier 1,Supermarket Type1,1165.15
DRL47,19.7,Low Fat,0.038736781,Hard Drinks,127.4362,OUT046,1997,Small,Tier 1,Supermarket Type1,1510.0344
FDS19,13.8,Regular,0.064307102,Fruits and Vegetables,77.3012,OUT049,1999,Medium,Tier 1,Supermarket Type1,1593.9252
FDZ27,7.935,LF,0.017141985,Dairy,50.035,OUT013,1987,High,Tier 3,Supermarket Type1,149.805
FDP13,,Regular,0.133673087,Canned,41.548,OUT027,1985,Medium,Tier 3,Supermarket Type3,918.804
FDR09,,Low Fat,0.077348214,Snack Foods,259.7962,OUT027,1985,Medium,Tier 3,Supermarket Type3,8028.8822
FDM28,15.7,Low Fat,0.045295529,Frozen Foods,181.366,OUT045,2002,,Tier 2,Supermarket Type1,1977.426
FDS02,,Regular,0.255394896,Dairy,196.8794,OUT019,1985,Small,Tier 1,Grocery Store,780.3176
NCN30,16.35,Low Fat,0.02844314,Household,98.141,OUT010,1998,,Tier 3,Grocery Store,386.164
NCY17,18.2,Low Fat,0.1630653,Health and Hygiene,43.3086,OUT035,2004,Small,Tier 2,Supermarket Type1,758.3462
FDY37,17.0,Regular,0.026546765,Canned,142.147,OUT013,1987,High,Tier 3,Supermarket Type1,2147.205
FDY27,6.38,Low Fat,0.032028115,Dairy,178.3344,OUT018,2009,Medium,Tier 3,Supermarket Type2,3211.8192
NCD42,16.5,Low Fat,0.012689327,Health and Hygiene,39.7506,OUT018,2009,Medium,Tier 3,Supermarket Type2,227.7036
NCL18,18.85,Low Fat,0.168531813,Household,192.5136,OUT017,2007,,Tier 2,Supermarket Type1,2916.204
FDU21,11.8,Regular,0.076839735,Snack Foods,34.9558,OUT049,1999,Medium,Tier 1,Supermarket Type1,373.5138
DRE25,15.35,Low Fat,0.073397129,Soft Drinks,91.912,OUT049,1999,Medium,Tier 1,Supermarket Type1,2609.936
FDX59,10.195,Low Fat,0.051661272,Breads,33.3558,OUT046,1997,Small,Tier 1,Supermarket Type1,848.895
NCX42,6.36,Low Fat,0.00599072,Household,163.6526,OUT045,2002,,Tier 2,Supermarket Type1,5262.4832
NCM29,11.5,LF,0.017642229,Health and Hygiene,131.8626,OUT046,1997,Small,Tier 1,Supermarket Type1,2885.5772
FDT56,,Regular,0.115032648,Fruits and Vegetables,58.0246,OUT027,1985,Medium,Tier 3,Supermarket Type3,2143.2102
FDT55,13.6,Regular,0.043743689,Fruits and Vegetables,157.7946,OUT045,2002,,Tier 2,Supermarket Type1,1104.5622
NCN07,18.5,Low Fat,0.056816465,Others,132.1284,OUT010,1998,,Tier 3,Grocery Store,263.6568
FDB26,14.0,Regular,0.031330907,Canned,52.364,OUT045,2002,,Tier 2,Supermarket Type1,745.696
DRC13,8.26,Regular,0.032573725,Soft Drinks,125.073,OUT018,2009,Medium,Tier 3,Supermarket Type2,985.384
NCB43,20.2,Low Fat,0.100319317,Household,188.6898,OUT018,2009,Medium,Tier 3,Supermarket Type2,3367.6164
FDW31,,Regular,0.042949109,Fruits and Vegetables,199.5742,OUT027,1985,Medium,Tier 3,Supermarket Type3,3981.484
NCG19,20.25,Low Fat,0.148163564,Household,232.7616,OUT049,1999,Medium,Tier 1,Supermarket Type1,1874.8928
FDW39,,Regular,0.064625342,Meat,176.937,OUT019,1985,Small,Tier 1,Grocery Store,176.437
FDW33,9.395,Low Fat,0.099120588,Snack Foods,107.228,OUT046,1997,Small,Tier 1,Supermarket Type1,2024.032
NCV42,6.26,Low Fat,0.031599715,Household,111.3228,OUT017,2007,,Tier 2,Supermarket Type1,2431.5016
DRJ49,6.865,Low Fat,0.013990601,Soft Drinks,127.6652,OUT035,2004,Small,Tier 2,Supermarket Type1,2841.6344
FDO22,13.5,Regular,0.029893094,Snack Foods,81.096,OUT010,1998,,Tier 3,Grocery Store,159.792
FDX38,10.5,Regular,0.0481669,Dairy,48.8376,OUT013,1987,High,Tier 3,Supermarket Type1,671.1264
NCJ30,5.82,Low Fat,0.080640478,Household,167.779,OUT046,1997,Small,Tier 1,Supermarket Type1,2886.243
FDE58,18.5,LF,0.0,Snack Foods,119.8124,OUT017,2007,,Tier 2,Supermarket Type1,4029.4216
FDE24,14.85,Low Fat,0.09344495,Baking Goods,141.0812,OUT035,2004,Small,Tier 2,Supermarket Type1,1139.8496
FDQ55,13.65,Regular,0.013064516,Fruits and Vegetables,115.5834,OUT045,2002,,Tier 2,Supermarket Type1,1382.2008
FDF34,,Regular,0.013951504,Snack Foods,199.9084,OUT027,1985,Medium,Tier 3,Supermarket Type3,5753.8436
FDX47,6.55,Regular,0.034575546,Breads,156.5288,OUT013,1987,High,Tier 3,Supermarket Type1,1571.288
FDZ20,16.1,Low Fat,0.034306962,Fruits and Vegetables,252.3356,OUT046,1997,Small,Tier 1,Supermarket Type1,3815.034
FDS33,6.67,Regular,0.123428594,Snack Foods,89.1514,OUT046,1997,Small,Tier 1,Supermarket Type1,2390.8878
FDA02,14.0,Regular,0.029722659,Dairy,143.4786,OUT046,1997,Small,Tier 1,Supermarket Type1,1589.2646
NCA41,16.75,Low Fat,0.032586709,Health and Hygiene,191.9162,OUT046,1997,Small,Tier 1,Supermarket Type1,4040.7402
NCL42,18.85,Low Fat,0.040599963,Household,244.0144,OUT017,2007,,Tier 2,Supermarket Type1,5635.3312
FDX35,5.035,Regular,0.0,Breads,228.2036,OUT046,1997,Small,Tier 1,Supermarket Type1,4781.7756
FDW16,,Regular,0.041273391,Frozen Foods,91.6804,OUT027,1985,Medium,Tier 3,Supermarket Type3,3858.9768
FDY57,20.2,Regular,0.121254236,Snack Foods,94.5752,OUT046,1997,Small,Tier 1,Supermarket Type1,1821.6288
FDH53,20.5,Regular,0.019199733,Frozen Foods,84.3592,OUT046,1997,Small,Tier 1,Supermarket Type1,1816.3024
FDB47,8.8,Low Fat,0.071369947,Snack Foods,209.1612,OUT013,1987,High,Tier 3,Supermarket Type1,2090.612
FDO38,,low fat,0.072486326,Canned,78.9986,OUT027,1985,Medium,Tier 3,Supermarket Type3,2259.0594
FDK45,11.65,LF,0.033858187,Seafood,113.386,OUT046,1997,Small,Tier 1,Supermarket Type1,2603.278
FDL32,15.7,Regular,0.122657336,Fruits and Vegetables,110.1544,OUT049,1999,Medium,Tier 1,Supermarket Type1,1565.9616
FDZ45,14.1,Low Fat,0.067148407,Snack Foods,200.4084,OUT018,2009,Medium,Tier 3,Supermarket Type2,3968.168
NCL18,18.85,Low Fat,0.167444431,Household,194.6136,OUT013,1987,High,Tier 3,Supermarket Type1,1166.4816
FDB15,10.895,Low Fat,0.137023446,Dairy,263.7568,OUT049,1999,Medium,Tier 1,Supermarket Type1,7646.0472
DRO47,10.195,Low Fat,0.0,Hard Drinks,114.086,OUT046,1997,Small,Tier 1,Supermarket Type1,1810.976
FDO10,,Regular,0.0,Snack Foods,58.7588,OUT019,1985,Small,Tier 1,Grocery Store,400.8116
FDI28,,Low Fat,0.026194237,Frozen Foods,79.0302,OUT027,1985,Medium,Tier 3,Supermarket Type3,1901.5248
NCP06,,Low Fat,0.039055756,Household,152.3366,OUT027,1985,Medium,Tier 3,Supermarket Type3,2115.9124
DRE49,20.75,LF,0.021250002,Soft Drinks,150.5024,OUT046,1997,Small,Tier 1,Supermarket Type1,2580.6408
NCK42,,Low Fat,0.013056494,Household,215.9192,OUT027,1985,Medium,Tier 3,Supermarket Type3,7334.4528
NCN29,15.2,Low Fat,0.0,Health and Hygiene,47.8034,OUT049,1999,Medium,Tier 1,Supermarket Type1,437.4306
FDK02,12.5,Low Fat,0.187841082,Canned,119.244,OUT010,1998,,Tier 3,Grocery Store,119.844
FDR20,20.0,Regular,0.028167478,Fruits and Vegetables,45.5744,OUT049,1999,Medium,Tier 1,Supermarket Type1,452.744
NCH18,,Low Fat,0.044444956,Household,245.2802,OUT027,1985,Medium,Tier 3,Supermarket Type3,10072.8882
FDG32,19.85,Low Fat,0.17635245,Fruits and Vegetables,220.8772,OUT045,2002,,Tier 2,Supermarket Type1,4225.1668
NCO17,10.0,Low Fat,0.073493831,Health and Hygiene,118.344,OUT049,1999,Medium,Tier 1,Supermarket Type1,1797.66
NCP14,8.275,Low Fat,0.110913601,Household,106.3306,OUT017,2007,,Tier 2,Supermarket Type1,1254.3672
FDJ46,11.1,Low Fat,0.044823438,Snack Foods,174.2054,OUT046,1997,Small,Tier 1,Supermarket Type1,1926.1594
DRD49,9.895,Low Fat,0.168780385,Soft Drinks,236.8564,OUT017,2007,,Tier 2,Supermarket Type1,4767.128
FDT37,14.15,Low Fat,0.03546967,Canned,256.3014,OUT017,2007,,Tier 2,Supermarket Type1,4845.0266
FDP19,11.5,Low Fat,0.173867958,Fruits and Vegetables,128.8652,OUT045,2002,,Tier 2,Supermarket Type1,1291.652
FDK10,5.785,Regular,0.040325274,Snack Foods,180.466,OUT013,1987,High,Tier 3,Supermarket Type1,719.064
FDC04,,Low Fat,0.044767801,Dairy,241.8854,OUT027,1985,Medium,Tier 3,Supermarket Type3,4592.0226
DRH25,,Low Fat,0.014522363,Soft Drinks,50.2324,OUT027,1985,Medium,Tier 3,Supermarket Type3,1298.31
FDT16,9.895,Regular,0.048738014,Frozen Foods,262.1278,OUT049,1999,Medium,Tier 1,Supermarket Type1,3904.917
FDB11,16.0,Low Fat,0.060942632,Starchy Foods,225.6404,OUT049,1999,Medium,Tier 1,Supermarket Type1,2925.5252
FDV01,19.2,Regular,0.142189843,Canned,153.8314,OUT010,1998,,Tier 3,Grocery Store,155.1314
NCV41,14.35,Low Fat,0.017135155,Health and Hygiene,109.8228,OUT017,2007,,Tier 2,Supermarket Type1,1657.842
FDA15,,Low Fat,0.015944801,Dairy,249.5092,OUT027,1985,Medium,Tier 3,Supermarket Type3,6474.2392
FDD44,8.05,Regular,0.07884393,Fruits and Vegetables,257.0646,OUT017,2007,,Tier 2,Supermarket Type1,8760.5964
FDP24,20.6,Low Fat,0.083473583,Baking Goods,120.8756,OUT017,2007,,Tier 2,Supermarket Type1,1211.756
FDN25,7.895,Regular,0.061163967,Breakfast,59.2588,OUT035,2004,Small,Tier 2,Supermarket Type1,801.6232
FDH33,12.85,Low Fat,0.121972274,Snack Foods,43.1428,OUT045,2002,,Tier 2,Supermarket Type1,703.0848
FDU11,4.785,Low Fat,0.0931174,Breads,118.6098,OUT017,2007,,Tier 2,Supermarket Type1,361.5294
FDL51,20.7,Regular,0.047684831,Dairy,212.5876,OUT018,2009,Medium,Tier 3,Supermarket Type2,1286.3256
FDB27,7.575,Low Fat,0.092711708,Dairy,197.7768,OUT010,1998,,Tier 3,Grocery Store,197.0768
FDU27,18.6,Regular,0.28701714,Meat,48.8376,OUT010,1998,,Tier 3,Grocery Store,47.9376
FDK43,9.8,Low Fat,0.026992588,Meat,127.302,OUT017,2007,,Tier 2,Supermarket Type1,2277.036
NCK30,14.85,Low Fat,0.060927824,Household,254.8698,OUT013,1987,High,Tier 3,Supermarket Type1,4819.7262
FDR22,19.35,Regular,0.018667601,Snack Foods,112.9544,OUT017,2007,,Tier 2,Supermarket Type1,2908.2144
NCO26,7.235,Low Fat,0.076791671,Household,116.4492,OUT013,1987,High,Tier 3,Supermarket Type1,2316.984
FDY31,5.98,Low Fat,0.043554614,Fruits and Vegetables,148.2418,OUT035,2004,Small,Tier 2,Supermarket Type1,2354.2688
FDN02,16.5,Low Fat,0.074245348,Canned,208.2638,OUT017,2007,,Tier 2,Supermarket Type1,4762.4674
FDY34,10.5,Regular,0.01100413,Snack Foods,167.1842,OUT045,2002,,Tier 2,Supermarket Type1,2984.1156
FDL58,5.78,Regular,0.074264356,Snack Foods,264.7568,OUT049,1999,Medium,Tier 1,Supermarket Type1,4745.8224
FDR01,5.405,Regular,0.053839714,Canned,198.6742,OUT018,2009,Medium,Tier 3,Supermarket Type2,2388.8904
FDP13,,Regular,0.235183205,Canned,41.548,OUT019,1985,Small,Tier 1,Grocery Store,79.896
FDI32,17.7,Low Fat,0.291865402,Fruits and Vegetables,115.1834,OUT010,1998,,Tier 3,Grocery Store,345.5502
FDS56,5.785,Regular,0.038756864,Fruits and Vegetables,260.7252,OUT046,1997,Small,Tier 1,Supermarket Type1,6033.4796
FDL33,7.235,Low Fat,0.099962524,Snack Foods,193.8452,OUT046,1997,Small,Tier 1,Supermarket Type1,1957.452
FDQ40,11.1,Regular,0.036174285,Frozen Foods,176.0712,OUT018,2009,Medium,Tier 3,Supermarket Type2,1581.9408
FDE36,5.26,Regular,0.041857101,Baking Goods,162.7868,OUT045,2002,,Tier 2,Supermarket Type1,4258.4568
NCO06,19.25,Low Fat,0.180820798,Household,35.9558,OUT010,1998,,Tier 3,Grocery Store,67.9116
FDV04,7.825,Regular,0.149890395,Frozen Foods,159.0288,OUT013,1987,High,Tier 3,Supermarket Type1,1257.0304
DRE49,20.75,Low Fat,0.021336565,Soft Drinks,153.6024,OUT018,2009,Medium,Tier 3,Supermarket Type2,1366.2216
FDA46,13.6,low fat,0.11830085,Snack Foods,196.2136,OUT017,2007,,Tier 2,Supermarket Type1,1944.136
NCB19,6.525,Low Fat,0.090806457,Household,86.4882,OUT017,2007,,Tier 2,Supermarket Type1,1631.8758
FDC14,,Regular,0.041049322,Canned,41.2454,OUT027,1985,Medium,Tier 3,Supermarket Type3,1342.2528
FDV44,8.365,Regular,0.039925235,Fruits and Vegetables,189.2188,OUT045,2002,,Tier 2,Supermarket Type1,4570.0512
FDA26,7.855,Regular,0.073906461,Dairy,218.4482,OUT035,2004,Small,Tier 2,Supermarket Type1,4819.0604
NCL31,,Low Fat,0.210596485,Others,144.747,OUT019,1985,Small,Tier 1,Grocery Store,143.147
FDK50,7.96,Low Fat,0.028357839,Canned,163.2894,OUT035,2004,Small,Tier 2,Supermarket Type1,4530.1032
FDU58,6.61,Regular,0.0,Snack Foods,186.4898,OUT045,2002,,Tier 2,Supermarket Type1,2993.4368
DRG25,10.5,Low Fat,0.019033838,Soft Drinks,185.624,OUT013,1987,High,Tier 3,Supermarket Type1,6897.688
FDS24,20.85,Regular,0.062172698,Baking Goods,90.2514,OUT013,1987,High,Tier 3,Supermarket Type1,619.8598
FDB04,11.35,Regular,0.06321435,Dairy,88.3856,OUT035,2004,Small,Tier 2,Supermarket Type1,1318.284
NCX42,,Low Fat,0.010467749,Household,162.9526,OUT019,1985,Small,Tier 1,Grocery Store,822.263
FDA33,6.48,LF,0.033952603,Snack Foods,148.2076,OUT049,1999,Medium,Tier 1,Supermarket Type1,3399.5748
NCM07,9.395,Low Fat,0.039954281,Others,82.4908,OUT035,2004,Small,Tier 2,Supermarket Type1,2013.3792
FDP25,15.2,Low Fat,0.021327477,Canned,216.8824,OUT017,2007,,Tier 2,Supermarket Type1,2838.9712
FDT15,12.15,Regular,0.042855388,Meat,181.695,OUT018,2009,Medium,Tier 3,Supermarket Type2,2929.52
NCP02,,Low Fat,0.044591774,Household,59.6562,OUT027,1985,Medium,Tier 3,Supermarket Type3,2192.4794
FDC20,10.65,Low Fat,0.024020078,Fruits and Vegetables,57.2272,OUT045,2002,,Tier 2,Supermarket Type1,1174.4712
NCY05,13.5,LF,0.055301055,Health and Hygiene,34.6874,OUT017,2007,,Tier 2,Supermarket Type1,317.5866
FDX47,,Regular,0.060587738,Breads,156.8288,OUT019,1985,Small,Tier 1,Grocery Store,471.3864
FDX57,,Regular,0.047037323,Snack Foods,96.4068,OUT027,1985,Medium,Tier 3,Supermarket Type3,2624.5836
FDO11,8.0,Regular,0.030311951,Breads,247.4092,OUT049,1999,Medium,Tier 1,Supermarket Type1,6972.2576
DRJ25,14.6,Low Fat,0.150872868,Soft Drinks,47.5692,OUT045,2002,,Tier 2,Supermarket Type1,1379.5376
DRB48,16.75,Regular,0.024832806,Soft Drinks,38.7822,OUT013,1987,High,Tier 3,Supermarket Type1,667.7974
FDT57,15.2,Low Fat,0.019018943,Snack Foods,238.7248,OUT013,1987,High,Tier 3,Supermarket Type1,1659.1736
FDP12,9.8,Regular,0.045266806,Baking Goods,36.9874,OUT046,1997,Small,Tier 1,Supermarket Type1,705.748
NCT42,5.88,Low Fat,0.024882614,Household,149.4392,OUT035,2004,Small,Tier 2,Supermarket Type1,1640.5312
FDQ16,19.7,LF,0.041823046,Frozen Foods,108.0912,OUT045,2002,,Tier 2,Supermarket Type1,1965.4416
NCM06,7.475,LF,0.075881475,Household,155.2656,OUT045,2002,,Tier 2,Supermarket Type1,2934.8464
FDT02,12.6,Low Fat,0.024331586,Dairy,34.9874,OUT017,2007,,Tier 2,Supermarket Type1,529.311
NCL05,,Low Fat,0.083862625,Health and Hygiene,44.077,OUT019,1985,Small,Tier 1,Grocery Store,216.385
FDY52,6.365,Low Fat,0.007359711,Frozen Foods,60.1536,OUT049,1999,Medium,Tier 1,Supermarket Type1,490.0288
NCL29,9.695,Low Fat,0.114170506,Health and Hygiene,158.9604,OUT045,2002,,Tier 2,Supermarket Type1,1743.0644
DRG51,12.1,Low Fat,0.011557563,Dairy,165.3526,OUT049,1999,Medium,Tier 1,Supermarket Type1,3453.5046
FDF05,17.5,Low Fat,0.026865809,Frozen Foods,261.691,OUT035,2004,Small,Tier 2,Supermarket Type1,4207.856
FDN34,15.6,Regular,0.046023105,Snack Foods,169.2132,OUT017,2007,,Tier 2,Supermarket Type1,2536.698
FDY13,12.1,Low Fat,0.030250132,Canned,75.267,OUT018,2009,Medium,Tier 3,Supermarket Type2,612.536
FDK52,18.25,Low Fat,0.0793795,Frozen Foods,226.1062,OUT045,2002,,Tier 2,Supermarket Type1,6771.186
FDI04,13.65,Regular,0.073209447,Frozen Foods,197.6426,OUT018,2009,Medium,Tier 3,Supermarket Type2,2768.3964
FDU34,18.25,Low Fat,0.075132353,Snack Foods,125.9046,OUT013,1987,High,Tier 3,Supermarket Type1,2365.5874
FDC05,13.1,Regular,0.099186992,Frozen Foods,198.7768,OUT018,2009,Medium,Tier 3,Supermarket Type2,3153.2288
FDV33,9.6,Regular,0.02734361,Snack Foods,257.8304,OUT046,1997,Small,Tier 1,Supermarket Type1,1808.3128
FDQ15,20.35,Regular,0.151308326,Meat,81.7276,OUT049,1999,Medium,Tier 1,Supermarket Type1,2030.69
FDL14,8.115,reg,0.032152786,Canned,157.3972,OUT035,2004,Small,Tier 2,Supermarket Type1,1869.5664
FDD10,20.6,Regular,0.077029195,Snack Foods,177.2344,OUT010,1998,,Tier 3,Grocery Store,892.172
FDI21,5.59,Regular,0.056602818,Snack Foods,63.2168,OUT046,1997,Small,Tier 1,Supermarket Type1,1725.7536
NCM18,13.0,LF,0.083009876,Household,61.1194,OUT045,2002,,Tier 2,Supermarket Type1,2352.9372
FDT25,7.5,Low Fat,0.05074138,Canned,123.2072,OUT035,2004,Small,Tier 2,Supermarket Type1,1837.608
FDS60,20.85,Low Fat,0.032448523,Baking Goods,177.866,OUT046,1997,Small,Tier 1,Supermarket Type1,1078.596
FDR25,17.0,Regular,0.139521931,Canned,266.8884,OUT046,1997,Small,Tier 1,Supermarket Type1,5034.7796
FDG09,20.6,Regular,0.080235512,Fruits and Vegetables,188.9556,OUT010,1998,,Tier 3,Grocery Store,563.2668
NCJ06,20.1,Low Fat,0.034848629,Household,118.6782,OUT017,2007,,Tier 2,Supermarket Type1,2502.7422
FDH10,,Low Fat,0.086326707,Snack Foods,192.6478,OUT019,1985,Small,Tier 1,Grocery Store,387.4956
FDT44,16.6,Low Fat,0.103406065,Fruits and Vegetables,116.4466,OUT018,2009,Medium,Tier 3,Supermarket Type2,1178.466
NCG18,15.3,Low Fat,0.0,Household,103.5332,OUT035,2004,Small,Tier 2,Supermarket Type1,3383.5956
FDV25,,Low Fat,0.079931185,Canned,219.7456,OUT019,1985,Small,Tier 1,Grocery Store,884.1824
FDL48,19.35,Regular,0.082394321,Baking Goods,48.5034,OUT049,1999,Medium,Tier 1,Supermarket Type1,243.017
NCC42,15.0,Low Fat,0.044908404,Health and Hygiene,140.2838,OUT046,1997,Small,Tier 1,Supermarket Type1,1404.838
FDX55,15.1,Low Fat,0.055195461,Fruits and Vegetables,216.1166,OUT035,2004,Small,Tier 2,Supermarket Type1,5007.4818
FDT31,19.75,Low Fat,0.012499004,Fruits and Vegetables,188.0872,OUT018,2009,Medium,Tier 3,Supermarket Type2,2458.1336
FDX04,,Regular,0.07278643,Frozen Foods,49.4376,OUT019,1985,Small,Tier 1,Grocery Store,191.7504
FDS50,17.0,Low Fat,0.055433377,Dairy,221.1114,OUT046,1997,Small,Tier 1,Supermarket Type1,4434.228
DRY23,9.395,Regular,0.109265987,Soft Drinks,42.3112,OUT049,1999,Medium,Tier 1,Supermarket Type1,980.0576
FDX19,19.1,Low Fat,0.096715523,Fruits and Vegetables,235.0958,OUT035,2004,Small,Tier 2,Supermarket Type1,3038.0454
FDL58,5.78,Regular,0.0,Snack Foods,263.7568,OUT017,2007,,Tier 2,Supermarket Type1,2636.568
FDI14,14.1,Low Fat,0.090185027,Canned,140.2496,OUT017,2007,,Tier 2,Supermarket Type1,2681.8424
FDD05,19.35,Low Fat,0.016645164,Frozen Foods,120.9098,OUT045,2002,,Tier 2,Supermarket Type1,1687.1372
NCS30,5.945,Low Fat,0.0,Household,128.9652,OUT017,2007,,Tier 2,Supermarket Type1,1808.3128
FDU39,18.85,LF,0.036037952,Meat,58.4562,OUT046,1997,Small,Tier 1,Supermarket Type1,711.0744
FDB08,,Low Fat,0.030952737,Fruits and Vegetables,160.1578,OUT027,1985,Medium,Tier 3,Supermarket Type3,3048.6982
FDH26,19.25,Regular,0.03467086,Canned,141.8496,OUT013,1987,High,Tier 3,Supermarket Type1,2399.5432
NCC07,19.6,Low Fat,0.023988387,Household,104.5964,OUT049,1999,Medium,Tier 1,Supermarket Type1,1262.3568
FDV57,15.25,Regular,0.065999008,Snack Foods,177.966,OUT049,1999,Medium,Tier 1,Supermarket Type1,2336.958
FDR01,5.405,Regular,0.053924587,Canned,198.2742,OUT017,2007,,Tier 2,Supermarket Type1,4379.6324
FDJ07,,Low Fat,0.014353676,Meat,115.515,OUT027,1985,Medium,Tier 3,Supermarket Type3,1631.21
FDF24,15.5,Regular,0.042464962,Baking Goods,81.5934,OUT010,1998,,Tier 3,Grocery Store,327.5736
FDR46,,Low Fat,0.244102315,Snack Foods,148.076,OUT019,1985,Small,Tier 1,Grocery Store,146.476
FDW40,14.0,Regular,0.105573769,Frozen Foods,143.9812,OUT018,2009,Medium,Tier 3,Supermarket Type2,1139.8496
FDQ16,19.7,Low Fat,0.041730507,Frozen Foods,109.2912,OUT035,2004,Small,Tier 2,Supermarket Type1,2402.2064
NCB31,6.235,Low Fat,0.119345629,Household,261.991,OUT017,2007,,Tier 2,Supermarket Type1,2366.919
NCE18,10.0,Low Fat,0.021425341,Household,250.175,OUT046,1997,Small,Tier 1,Supermarket Type1,2996.1
NCZ06,,Low Fat,0.09370568,Household,253.8698,OUT027,1985,Medium,Tier 3,Supermarket Type3,3297.7074
DRP47,15.75,Low Fat,0.141398626,Hard Drinks,250.5382,OUT017,2007,,Tier 2,Supermarket Type1,2775.7202
NCG30,20.2,LF,0.112321218,Household,123.6046,OUT046,1997,Small,Tier 1,Supermarket Type1,2988.1104
FDG17,6.865,Regular,0.03598621,Frozen Foods,244.1486,OUT018,2009,Medium,Tier 3,Supermarket Type2,2687.8346
FDW50,13.1,Low Fat,0.075563757,Dairy,168.1158,OUT035,2004,Small,Tier 2,Supermarket Type1,2005.3896
DRJ13,12.65,Low Fat,0.105265475,Soft Drinks,159.9578,OUT010,1998,,Tier 3,Grocery Store,962.7468
FDW48,18.0,Low Fat,0.008554102,Baking Goods,79.3618,OUT049,1999,Medium,Tier 1,Supermarket Type1,805.618
FDT34,9.3,Low Fat,0.175060504,Snack Foods,106.7964,OUT018,2009,Medium,Tier 3,Supermarket Type2,525.982
FDS13,,Low Fat,0.21799414,Canned,266.5884,OUT019,1985,Small,Tier 1,Grocery Store,1324.942
FDE20,11.35,Regular,0.005530516,Fruits and Vegetables,171.179,OUT046,1997,Small,Tier 1,Supermarket Type1,4923.591
FDG59,15.85,Low Fat,0.043322254,Starchy Foods,39.6164,OUT045,2002,,Tier 2,Supermarket Type1,1004.0264
NCR17,9.8,Low Fat,0.024482644,Health and Hygiene,116.2492,OUT018,2009,Medium,Tier 3,Supermarket Type2,2896.23
NCV06,,Low Fat,0.066358426,Household,195.2478,OUT027,1985,Medium,Tier 3,Supermarket Type3,7168.6686
FDN44,13.15,Low Fat,0.022795611,Fruits and Vegetables,160.192,OUT046,1997,Small,Tier 1,Supermarket Type1,1597.92
FDR52,12.65,Regular,0.07603021,Frozen Foods,189.0846,OUT035,2004,Small,Tier 2,Supermarket Type1,4012.7766
FDA20,6.78,Low Fat,0.066724663,Fruits and Vegetables,187.724,OUT049,1999,Medium,Tier 1,Supermarket Type1,1491.392
FDL52,6.635,Regular,0.046350909,Frozen Foods,37.4506,OUT017,2007,,Tier 2,Supermarket Type1,1176.4686
FDZ33,10.195,Low Fat,0.108004532,Snack Foods,148.7076,OUT017,2007,,Tier 2,Supermarket Type1,1330.2684
DRC27,13.8,Low Fat,0.058091482,Dairy,245.1802,OUT035,2004,Small,Tier 2,Supermarket Type1,5650.6446
FDI53,8.895,Regular,0.13842353,Frozen Foods,163.0236,OUT017,2007,,Tier 2,Supermarket Type1,1127.8652
NCQ29,,Low Fat,0.182493512,Health and Hygiene,258.8278,OUT019,1985,Small,Tier 1,Grocery Store,1041.3112
FDS31,13.1,Regular,0.044281996,Fruits and Vegetables,178.5318,OUT045,2002,,Tier 2,Supermarket Type1,3067.3406
FDT37,14.15,Low Fat,0.035240817,Canned,255.5014,OUT013,1987,High,Tier 3,Supermarket Type1,5355.0294
FDI10,8.51,reg,0.078339081,Snack Foods,172.9422,OUT013,1987,High,Tier 3,Supermarket Type1,1379.5376
